"","sample","treatment","effluent","pCO2","library","extraction"
"CASE_J03","CASE_J03","CASE","SE","CA","three","two"
"CASE_J09","CASE_J09","CASE","SE","CA","four","two"
"CASE_J12","CASE_J12","CASE","SE","CA","two","three"
"CASE_J13","CASE_J13","CASE","SE","CA","two","three"
"CA_J06","CA_J06","CA","ambient","CA","three","two"
"CA_J08","CA_J08","CA","ambient","CA","one","two"
"CA_J11","CA_J11","CA","ambient","CA","four","three"
"CA_J18","CA_J18","CA","ambient","CA","two","three"
"CON_J02","CON_J02","CON","ambient","ambient","three","one"
"CON_J05","CON_J05","CON","ambient","ambient","one","two"
"CON_J10","CON_J10","CON","ambient","ambient","four","two"
"SE_J01","SE_J01","SE","SE","ambient","one","one"
"SE_J04","SE_J04","SE","SE","ambient","four","three"
"SE_J07","SE_J07","SE","SE","ambient","three","two"
